,1q21.3  ,1q44    ,3p25.1  ,3q26.32 ,4q13.3  ,5p15.33 ,6p23    ,6q21    ,8p11.23 ,8p11.21 ,8q24.21 ,10p15.1 ,10q22.3 ,11p13   ,11q13.3 ,11q14.1 ,12p13.33,12q15   ,13q34   ,14q21.1 ,15q26.3 ,17p11.2 ,17q12   ,17q23.1 ,19p13.12,19q12   ,19q13.42,20q13.2 ,1p36.13 ,1p21.2  ,2q37.3  ,3p21.31 ,4p16.3  ,4q35.2  ,5q11.2  ,5q21.3  ,6p25.3  ,6q15    ,6q27    ,7p22.3  ,7q36.1  ,8p23.2  ,9p23    ,9p21.3  ,9q21.11 ,9q34.2  ,10q23.31,10q26.3 ,11p15.5 ,11q13.1 ,11q23.3 ,11q25   ,12p13.1 ,12q23.1 ,12q24.31,13q14.2 ,14q24.1 ,14q32.12,15q13.1 ,16q24.3 ,17p12   ,17q21.31,18q23   ,19p13.3 ,19q13.32,20p13   ,21q11.2 ,22q11.1 ,22q13.32
TCGA.3C.AAAU,3.6569,0.1874,-0.4576,0.2586,3.6569,0.1659,0.147,-1.0883,0.1976,0.1976,0.2218,-0.4827,-0.4676,0.1843,2.0965,2.6037,0.1862,3.6569,-0.4534,-0.4279,0.1184,-0.5673,0.0783,0.0783,0.0,0.0,0.0,1.8238,0.069,0.2159,-0.3991,-0.4659,-0.4717,-0.38,0.2476,0.2875,0.147,-1.0883,-1.119,0.2267,0.2087,0.1829,-0.4577,-0.488,-0.488,-0.488,-0.4676,-0.4676,0.1054,-0.5999,-0.4652,-0.4652,0.1862,-0.4698,-0.4698,-1.0803,-0.4909,-0.4909,0.1495,0.1227,-0.5673,0.0783,0.2153,0.0,0.0,0.7256,0.9069,-0.5961,-0.5961
TCGA.3C.AALI,0.3873,0.3858,0.4438,0.4765,-0.4365,0.0226,-0.0087,-0.4901,0.4473,0.4473,0.465,-0.4742,-0.4608,0.0072,0.0072,0.0072,-0.0066,-0.0003,-0.4263,0.5003,-0.0162,-0.5305,3.6569,2.3088,-0.1543,0.0964,0.0964,0.7833,-0.5178,-0.4478,0.0,-0.4765,-0.4365,0.0562,0.482,-0.4407,-0.4952,-0.4352,-0.4529,0.4494,0.4541,0.4473,-0.4437,-0.4617,0.0051,0.3845,-0.4608,-0.4621,-0.024,0.0072,-0.0265,-0.9626,-0.0066,-0.0003,-0.0003,-0.4122,-0.0145,-0.0145,-0.4622,0.0316,-0.5252,-0.5345,-0.9387,-0.1543,0.0964,0.8302,-0.4325,-0.0728,-0.4906
TCGA.3C.AALJ,0.0833,0.4121,0.0,-0.1448,-0.3167,0.0127,1.1985,0.0375,3.6569,-0.7089,1.152,0.0343,0.0588,0.0146,-0.3206,-0.3206,0.0229,0.3786,-0.3161,1.624,-0.3274,-0.6558,1.0898,1.4188,-0.321,0.0053,0.0053,3.6569,-0.3236,0.0833,-0.3907,0.0,-0.3265,-0.3309,0.025,0.025,-0.1379,-1.0618,0.0314,0.2113,-0.0028,-0.7602,0.0337,0.0278,0.3852,0.4294,0.0097,0.8212,0.0146,-0.3206,-0.3206,0.0478,0.0248,0.3733,0.3707,0.0238,-0.6981,-0.3366,-0.3274,0.0085,-0.6944,-0.6702,0.1714,-0.3152,0.0053,0.0199,-0.3309,-0.6947,-0.6923
TCGA.3C.AALK,0.5887,0.6172,-0.0162,-0.0577,-0.0326,0.0231,0.0134,0.0134,0.0264,0.0264,0.0264,0.0142,0.0142,0.0179,0.0233,0.0233,-0.0022,0.0,-0.0196,-0.0153,0.0253,-0.644,2.9314,1.6935,-0.0312,0.0083,-0.0144,0.0316,-0.0233,-0.0233,-0.0069,-0.0577,-0.0247,-0.0286,0.0191,0.0188,0.0134,0.0134,0.0134,0.0114,0.0142,0.0264,-0.0222,-0.0222,-0.0222,-0.0222,0.0142,0.0142,0.0179,0.0233,-0.1722,-0.1722,-0.0022,0.0,0.0,-0.0196,-0.0153,-0.0153,0.0253,-0.6359,-0.644,-0.6406,-0.0121,-0.0168,-0.0314,0.0316,-0.0527,0.0195,0.0195
TCGA.4H.AAAK,0.0,0.0,0.0046,-0.0028,-0.0039,0.0338,-0.0193,-0.0102,0.0171,0.0171,0.9728,0.0085,0.0207,0.0018,0.0018,0.0121,-0.3438,-0.0149,0.0233,0.0357,0.105,0.289,0.289,0.289,1.127,0.2952,0.2952,0.0288,0.0,0.0,0.0429,0.0089,0.016,-0.0057,-0.6381,0.0212,-0.0193,-0.015,-0.0102,-0.0036,-0.0036,-0.6626,0.3251,0.3251,0.3251,0.3259,0.0207,0.0372,0.0138,0.0018,-0.652,-0.652,-0.3438,-0.0149,-0.0149,0.0048,0.0357,0.0357,0.0072,-0.6684,-0.6687,0.289,0.0134,-0.7006,0.2952,0.0303,-0.0135,-0.0278,0.0128
TCGA.5L.AAT0,0.5546,0.5459,0.0088,-0.0018,-0.0155,-0.0079,-0.0047,-0.0047,-0.0018,-0.0018,-0.0018,0.0049,0.0049,0.0,0.0,0.0,-0.5567,0.0011,-0.0068,0.0037,0.0166,-0.5483,0.0195,0.0195,0.0309,0.0309,0.0409,0.022,0.0061,0.0061,0.0014,-0.5376,0.0122,-0.0155,-0.0079,-0.0079,-0.0047,-0.0047,-0.0047,0.0012,-0.003,-0.0018,0.0037,0.0037,0.0037,0.0177,0.0049,0.0145,0.0,0.0,0.0079,0.0079,-0.5567,0.0011,0.0011,-0.0068,0.0037,0.0143,0.0166,-0.551,-0.5483,0.0195,0.0031,0.0309,-0.4952,0.022,-0.0093,0.0295,0.0245
TCGA.5L.AAT1,0.3989,0.3989,0.0001,0.0001,-0.0011,0.0046,-0.0003,-0.0003,0.0,0.0,0.0,0.0026,0.0026,-0.0017,-0.0017,-0.0017,-0.0026,-0.0026,-0.0019,0.0015,0.005,0.0051,0.0051,0.0051,0.0,0.0,-0.0036,0.0049,-0.0004,-0.0015,-0.0009,0.0001,-0.0011,-0.0011,-0.6196,-0.0012,-0.0003,-0.0003,0.0009,-0.3763,-0.0029,0.0,0.001,0.001,0.001,0.001,0.0026,0.0026,-0.0017,-0.0017,0.0035,0.0035,-0.0026,-0.0028,-0.0028,-0.0043,-0.0057,0.0015,0.005,-0.413,0.0051,0.0051,0.0034,0.0,0.0,0.0049,-0.4137,0.0115,0.0115
TCGA.5T.A9QA,1.2389,1.4936,0.0,0.022,0.0307,0.0186,0.5257,-0.5618,3.6569,2.454,0.5635,0.5158,0.5324,0.4818,3.6569,3.6158,-0.0037,-0.0037,0.0042,-0.0179,-0.0533,0.2781,0.2781,0.3337,-0.1221,-0.1221,-0.1221,0.4556,-0.6465,-0.5633,0.4894,0.0,0.0307,0.0433,0.0186,0.0186,0.5257,-0.5618,-0.5731,-0.4587,-0.4731,-0.6024,-0.0144,-0.0144,-0.0144,-0.0551,0.5324,-0.6409,0.4652,-0.6303,-0.5807,-0.5807,-0.0037,-0.0037,-0.0037,0.0042,-0.0179,-0.0179,-0.0401,-0.0492,0.2966,0.2781,-0.0277,-0.1221,-0.1221,-0.6713,0.0316,0.8758,0.9061
TCGA.A1.A0SB,0.0021,0.0021,0.0,0.0,-0.0007,-0.0086,-0.0004,-0.0004,0.0021,0.0021,0.0021,-0.0014,-0.0014,0.0008,0.0008,0.0008,-0.0015,-0.0015,-0.0055,-0.0001,0.0018,-0.0018,-0.0018,-0.0001,0.0054,0.0054,0.0054,-0.0021,0.0021,0.0021,-0.001,0.0,-0.0007,-0.0007,0.0008,0.0008,-0.0004,-0.0004,-0.0116,0.0056,0.0031,0.0021,-0.0077,-0.0077,0.0018,-0.0002,-0.0014,-0.0048,0.0008,0.0008,-0.0012,-0.0012,-0.0015,0.0001,0.0001,0.0001,-0.0001,-0.0001,-0.0051,0.0019,-0.0018,0.0015,-0.0006,0.0054,0.0054,-0.0021,0.0006,0.0163,0.0163
TCGA.A1.A0SF,0.6863,1.0212,-0.3705,-0.0041,0.0203,-0.0075,-0.005,-0.005,0.3209,-0.7329,0.352,0.3473,0.3473,-0.0075,-0.0075,-0.0075,0.3955,0.3941,0.0229,0.0574,0.3764,-0.3852,-0.0175,-0.0175,0.3049,0.3049,0.3049,0.3341,-0.0155,-0.3619,-0.0028,-0.3705,0.0203,0.0203,-0.0075,-0.0075,-0.005,-0.005,-0.0124,0.3514,0.3514,-0.0032,-0.0021,-0.362,-0.0047,-0.0086,0.3473,0.3473,-0.0075,-0.0075,-0.0075,-0.0075,0.3955,-0.3755,-0.3755,0.0229,0.0574,0.0574,-0.3758,-0.3706,-0.3852,-0.0175,0.0,0.3049,0.3049,0.3494,0.0014,-0.0186,-0.0186
